,City,jpin,title,category_name,status,Exact title,ID,
0,Chennai,JPIN-1304472435,"Aachi Chicken Masala, 50g Pack",Grounded Spices & Masalas,pending,Aachi Chicken Masala 50 g,1,Aachi Chicken Masala 50 g
1,Chennai,JPIN-1304472425,"Aachi Chilli Powder, 100g Pack",Grounded Spices & Masalas,pending,Aachi Chilli Powder 100 g,2,Aachi Chilli Powder 100 g
2,Chennai,JPIN-1304472427,"Aachi Chilli Powder, 50g Pack",Grounded Spices & Masalas,pending,Aachi Chilli Powder 50 g,3,Aachi Chilli Powder 50 g
3,Chennai,JPIN-1304472108,"Aachi Coriander Powder, 100g Pack",Grounded Spices & Masalas,pending,Aachi Coriander Powder 100 g,4,Aachi Coriander Powder 100 g
4,Chennai,JPIN-1304472333,"Aachi Fish Curry Masala, 50g Pack",Grounded Spices & Masalas,pending,Aachi Fish Curry Masala 50 g,5,Aachi Fish Curry Masala 50 g
5,Chennai,JPIN-1304472332,"Aachi Fish Fry Masala, 50g Pack",Grounded Spices & Masalas,pending,Aachi Fish Fry Masala 50 g,6,Aachi Fish Fry Masala 50 g
6,Chennai,JPIN-1304464432,"Aachi Garam Masala, 100g Pack",Grounded Spices & Masalas,pending,Aachi Garam Masala 100 g,7,Aachi Garam Masala 100 g
7,Chennai,JPIN-1304372908,"Aachi Garam Masala, 50g Pack",Grounded Spices & Masalas,pending,Aachi Garam Masala 50 g,8,Aachi Garam Masala 50 g
8,Chennai,JPIN-1304472262,"Aachi Idly Chilli Powder, 100g Pack",Grounded Spices & Masalas,pending,Aachi Idly Chilli Powder 100 g,9,Aachi Idly Chilli Powder 100 g
9,Chennai,JPIN-1304479411,"Aachi Mutton Masala, 50g Pack",Grounded Spices & Masalas,pending,Aachi Mutton Masala 50 g,10,Aachi Mutton Masala 50 g
10,Chennai,JPIN-1304464584,"Aachi Rasam Powder, 100g Pack",Grounded Spices & Masalas,pending,Aachi Rasam Powder 100 g,11,Aachi Rasam Powder 100 g
11,Chennai,JPIN-1304475476,"Aachi Sambar Powder, 100g Pack",Grounded Spices & Masalas,pending,Aachi Sambar Powder 100 g,12,Aachi Sambar Powder 100 g
12,Chennai,JPIN-1304472105,"Aachi Turmeric Powder, 100g Pack",Grounded Spices & Masalas,pending,Aachi Turmeric Powder 100 g,13,Aachi Turmeric Powder 100 g
13,Chennai,JPIN-1304472439,"Aachi Turmeric Powder, 50g Pack",Grounded Spices & Masalas,pending,Aachi Turmeric Powder 50 gm,14,Aachi Turmeric Powder 50 gm
207,Chennai,JPIN-1304473251,"Aashirvaad Iodised Salt, 1Kg Pack",Salt,pending,Aashirvaad Iodised Salt 1 Kg,208,Aashirvaad Iodised Salt 1 Kg
222,Chennai,JPIN-1304473645,"Aashirvaad Superior MP Atta, 10Kg Pack",Flours & Sooji,pending,Aashirvaad Whole Wheat Atta 10 Kg,223,Aashirvaad Whole Wheat Atta 10 kg
223,Chennai,JPIN-1304473647,"Aashirvaad Superior MP Atta, 1Kg Pack",Flours & Sooji,pending,Aashirvaad Whole Wheat Atta 1 Kg,224,Aashirvaad Whole Wheat Atta 1 kg
226,Chennai,JPIN-1304478619,"Aashirvaad Superior MP Atta, 2Kg Pack",Flours & Sooji,pending,Aashirvaad Whole Wheat Atta 2 kg,227,Aashirvaad Whole Wheat Atta 2 Kg
208,Chennai,JPIN-1304473644,"Aashirvaad Superior MP Atta, 5Kg Pack",Flours & Sooji,pending,Aashirvaad Whole Wheat Atta 5 Kg,209,Aashirvaad Whole Wheat Atta 5 Kg
206,Chennai,JPIN-1304474709,"Bajaj Almond Drops Hair Oil, 100ml Glass Bottle",Personal Care,pending,Bajaj Almond Drops Non Sticky Hair Oil 100 ml,207,Bajaj Almond Drops Hair Oil 100 ml
202,Chennai,JPIN-1304463942,"Bajaj Almond Drops Hair Oil, 19ml Bottle",Personal Care,pending,Bajaj Almond Drops Hair Oil 19 ml,203,Bajaj Almond Drops Hair Oil 19 ml
205,Chennai,JPIN-1304463937,"Bajaj Almond Drops Hair Oil, 200ml Glass Bottle",Personal Care,pending,Bajaj Almond Drops Non Sticky Hair Oil 200 ml,206,Bajaj Almond Drops Hair Oil 200 ml
