City,jpin,title,category_name,manual map
Hubli,JPIN-1304479041,"Sunfeast Dark Fantasy Choco Fills, 20g Box","Biscuit, Confectionary & Snacks",Sunfeast Dark Fantasy Choco Fills Cookies 75 g
Hubli,JPIN-1304472991,"Sunfeast Bounce Creme Biscuits, Tangy Orange, 34g Pack","Biscuit, Confectionary & Snacks",Sunfeast Bounce Orange Cream Biscuits 34 g (+Get 7 g Extra)
Hubli,JPIN-1304472814,"Sunfeast Bounce Creme Biscuits, Choco Creme, 34g Pack","Biscuit, Confectionary & Snacks",Sunfeast Bounce Choco Creme Biscuits 34 g (+Get 7 g Extra)
Hubli,JPIN-1304473004,"Sunfeast Hi Fi Cookies, Cashew Butter, 36g Pack","Biscuit, Confectionary & Snacks",Sunfeast Hi Fi Cashew Butter Cookies 36 g
Hubli,JPIN-1304472985,"Sunfeast Dark Fantasy Choco Fills, 75g Box","Biscuit, Confectionary & Snacks",Sunfeast Dark Fantasy Choco Fills Cookies 75 g
Hubli,JPIN-1304477204,"Sunfeast Yippee! Magic Masala Noodles, 32.5g Pack",Packaged Foods,Sunfeast Yippee Magic Masala Instant Noodles 32 g
Hubli,JPIN-1304465557,"Mangaldeep Treya 3 in 1 Puja Agarbattis, 14Pcs Box",Home Care,Mangaldeep 3 in 1 Treya Agarbatti 80 pcs
Hubli,JPIN-1304478293,"Mangaldeep Bouquet, 14Pcs Box",Home Care,Mangaldeep Bouquet Agarbatti 14 pcs
Hubli,JPIN-1304477324,"Mangaldeep Anushri Puja Agarbattis, 65Pcs Box",Home Care,Mangaldeep Anushri Agarbatti 70 pcs
Hubli,JPIN-1304477427,"Mangaldeep Sadhvi Puja Agarbattis, 100Pcs Box",Home Care,
Hubli,JPIN-1304477325,"Mangaldeep Sandal Puja Agarbattis, 12Pcs Box",Home Care,Mangaldeep Sandal Agarbatti 12 pcs
Hubli,JPIN-1304464492,"Mangaldeep Sambrani, 20Pcs Box",Home Care,
Hubli,JPIN-1304390439,"Sunfeast Yippee! Magic Masala Noodles, 420g Pack",Packaged Foods,Sunfeast Yippee Magic Masala Instant Noodles 420 g
Hubli,JPIN-1304368609,"Sunfeast Dark Fantasy Choco Fills, 225g Box (3Pcs x 75g)","Biscuit, Confectionary & Snacks",Sunfeast Dark Fantasy Choco Fills Cookies 75 g
Hubli,JPIN-1304465399,"Sunfeast Dark Fantasy Bourbon Cream Biscuits, 60g Pack","Biscuit, Confectionary & Snacks",
Hubli,JPIN-1304465089,"Candyman Creme Lacto, 840g Jar (200Pcs x 4.2g)","Biscuit, Confectionary & Snacks",
Hubli,JPIN-1304467253,"Sunfeast Bounce Pineapple Zing, 34g Pack","Biscuit, Confectionary & Snacks",
Hubli,JPIN-1304473005,"Sunfeast Hi Fi Cookies, Butter, 36g Pack","Biscuit, Confectionary & Snacks",Sunfeast HiFi Butter Cookies 40 g
Hubli,JPIN-1304456768,"Sunfeast Dark Fantasy Choco Fills Cookies, 300g Box (24Pcs x 12.5g)","Biscuit, Confectionary & Snacks",Sunfeast Dark Fantasy Choco Fills Cookies 75 g
Hubli,JPIN-1304472982,"Sunfeast Dream Cream Biscuits, Choco Vanilla, 60g Pack","Biscuit, Confectionary & Snacks",
Hubli,JPIN-1304469821,"Mangaldeep Sandal Agarbattis, 80Pcs Box",Home Care,Mangaldeep Sandal Agarbatti 12 pcs
Hubli,JPIN-1304364075,"Savlon Fresh Disinfectant Hand Sanitizer Liquid, 100ml Bottle",Personal Care,
Hubli,JPIN-1304466447,"Mangaldeep Treya 3 in 1 Agarbattis, 80Pcs Box",Home Care,Mangaldeep 3 in 1 Treya Agarbatti 80 pcs
